gene	linb	nSNP
ENSG00000204314_PRRT1	0.9545059052157358	1
ENSG00000221988_PPT2	0.8176911720623135	5
ENSG00000258388_PPT2-EGFL8	0.49666801587225795	10
ENSG00000241404_EGFL8	0.4667645935790079	6
ENSG00000204308_RNF5	0.5776714256719698	4
ENSG00000204305_AGER	0.906145733893184	16
ENSG00000204304_PBX2	0.7250303621484523	1
ENSG00000213654_GPSM3	0.8530656905876188	4
ENSG00000204301_NOTCH4	0.4112215441725352	23
ENSG00000204296_TSBP1	0.7443621955657616	20
ENSG00000204290_BTNL2	0.3126287448572621	13
ENSG00000204287_HLA-DRA	0.8625307827110223	3
ENSG00000198502_HLA-DRB5	0.16567133481929763	3
ENSG00000196126_HLA-DRB1	0.2563697109527876	5
ENSG00000196735_HLA-DQA1	0.5475209453239047	3
ENSG00000179344_HLA-DQB1	0.26593206703171657	5
ENSG00000237541_HLA-DQA2	0.10388373751555169	1
ENSG00000232629_HLA-DQB2	0.7176135044270671	4
ENSG00000241106_HLA-DOB	0.4601924900848804	8
ENSG00000250264_AL669918.1	0.32422142730457804	10
ENSG00000204267_TAP2	0.5668904395002798	9
ENSG00000204264_PSMB8	0.04806575628218224	3
ENSG00000240065_PSMB9	0.9572911238609474	7
ENSG00000168394_TAP1	0.5410197711778898	8
ENSG00000242574_HLA-DMB	0.3789041999796454	2
ENSG00000248993_AL645941.2	0.8052078490207639	3
ENSG00000204257_HLA-DMA	0.823415821092494	3
ENSG00000204256_BRD2	0.6015843416306561	3
ENSG00000204252_HLA-DOA	0.7536153245798103	3
ENSG00000231389_HLA-DPA1	0.05014830186163688	6
ENSG00000223865_HLA-DPB1	0.9829656499593986	9
ENSG00000204248_COL11A2	0.16587188125711527	14
ENSG00000204231_RXRB	0.8069262076936172	7
ENSG00000112473_SLC39A7	0.3409916791161761	5
ENSG00000204228_HSD17B8	0.012167000767901337	9
ENSG00000204227_RING1	0.41723890622901283	3
ENSG00000223501_VPS52	0.370796616022799	9
ENSG00000231500_RPS18	0.9656929416463389	1
